date,sales,marketing_spend
2024-12-25,2142,4719
2024-12-26,2168,5010
2024-12-27,2076,4822
2024-12-28,2130,3785
2024-12-29,2094,3434
2024-12-30,2155,4008
2024-12-31,2093,4506
2025-01-01,2024,4026
2025-01-02,2040,3994
2025-01-03,1938,4693
2025-01-04,2058,3767
2025-01-05,1958,4764
2025-01-06,1987,3842
2025-01-07,2004,3669
2025-01-08,2080,3933
2025-01-09,2056,4567
2025-01-10,1873,3298
2025-01-11,1885,3410
2025-01-12,1931,4915
2025-01-13,2010,3396
2025-01-14,1940,4161
2025-01-15,1927,4190
2025-01-16,1951,4027
2025-01-17,1882,4302
2025-01-18,1874,3495
2025-01-19,1901,4118
2025-01-20,1786,3769
2025-01-21,1909,4365
2025-01-22,1846,3309
2025-01-23,1830,4191
2025-01-24,1843,3402
2025-01-25,1987,3580
2025-01-26,1882,3456
2025-01-27,1936,3389
2025-01-28,1934,4676
2025-01-29,1949,3584
2025-01-30,1895,4879
2025-01-31,1860,4968
2025-02-01,1910,4181
2025-02-02,1784,3322
2025-02-03,1897,3787
2025-02-04,1820,4605
2025-02-05,1943,3753
2025-02-06,1875,3210
2025-02-07,1796,4142
2025-02-08,1891,4700
2025-02-09,1859,4634
2025-02-10,1908,3391
2025-02-11,1856,4377
2025-02-12,1881,3453
2025-02-13,1805,3477
2025-02-14,1699,4781
2025-02-15,1757,3540
2025-02-16,1816,3566
2025-02-17,1828,3043
2025-02-18,1843,4772
2025-02-19,1784,4600
2025-02-20,1764,4291
2025-02-21,1741,4535
2025-02-22,1844,3343
2025-02-23,1838,3933
2025-02-24,1814,3720
2025-02-25,1858,3233
2025-02-26,1812,4012
2025-02-27,1812,4887
2025-02-28,1788,3120
2025-03-01,1727,3616
2025-03-02,1823,3451
2025-03-03,1837,3521
2025-03-04,1829,4850
2025-03-05,1800,3971
2025-03-06,1798,3948
2025-03-07,1766,4550
2025-03-08,1774,3347
2025-03-09,1852,3995
2025-03-10,1833,3878
2025-03-11,1941,4216
2025-03-12,1802,5018
2025-03-13,1768,4557
2025-03-14,1703,3822
2025-03-15,1698,4701
2025-03-16,1733,3371
2025-03-17,1846,3078
2025-03-18,1840,3421
2025-03-19,1792,3718
2025-03-20,1801,4046
2025-03-21,1750,4273
2025-03-22,1773,4857
2025-03-23,1912,4061
2025-03-24,1869,4023
2025-03-25,1853,3138
2025-03-26,1736,3090
2025-03-27,1712,4149
2025-03-28,1772,3911
2025-03-29,1773,4701
2025-03-30,1795,3342
2025-03-31,1805,3067
2025-04-01,1877,3935
2025-04-02,1875,3493
2025-04-03,1752,3133
2025-04-04,1766,4469
2025-04-05,1840,3259
2025-04-06,1805,4259
2025-04-07,1866,3603
2025-04-08,1814,3387
2025-04-09,1807,3777
2025-04-10,1776,4616
2025-04-11,1754,3822
2025-04-12,1786,4526
2025-04-13,1790,3278
2025-04-14,1799,4556
2025-04-15,1852,3494
2025-04-16,1815,4366
2025-04-17,1762,4176
2025-04-18,1800,4878
2025-04-19,1762,3806
2025-04-20,1794,3143
2025-04-21,1769,3074
2025-04-22,1774,4676
2025-04-23,1829,4095
2025-04-24,1799,4596
2025-04-25,1745,3491
2025-04-26,1836,3736
2025-04-27,1839,3110
2025-04-28,1843,4966
2025-04-29,1831,4379
2025-04-30,1769,4886
2025-05-01,1841,3564
2025-05-02,1704,4235
2025-05-03,1849,4370
2025-05-04,1883,3685
2025-05-05,1780,4719
2025-05-06,1860,4934
2025-05-07,1817,4811
2025-05-08,1782,4522
2025-05-09,1800,3604
2025-05-10,1777,3582
2025-05-11,1787,4938
2025-05-12,1901,3047
2025-05-13,1813,4447
2025-05-14,1847,4423
2025-05-15,1709,4269
2025-05-16,1820,5021
2025-05-17,1831,3656
2025-05-18,1776,3702
2025-05-19,1867,3194
2025-05-20,1779,3904
2025-05-21,1780,3532
2025-05-22,1733,3727
2025-05-23,1780,4704
2025-05-24,1828,4911
2025-05-25,1909,3383
2025-05-26,1785,3788
2025-05-27,1827,4892
2025-05-28,1745,3156
2025-05-29,1790,3219
2025-05-30,1885,3370
2025-05-31,1825,4223
2025-06-01,1736,3334
2025-06-02,1831,4985
2025-06-03,1848,3933
2025-06-04,1879,4030
2025-06-05,1772,3531
2025-06-06,1777,3967
2025-06-07,1775,4342
2025-06-08,1832,4536
2025-06-09,1870,4554
2025-06-10,1844,4202
2025-06-11,1827,4832
2025-06-12,1817,4665
2025-06-13,1808,4532
2025-06-14,1781,3161
2025-06-15,1784,3063
2025-06-16,1891,3460
2025-06-17,1887,4369
2025-06-18,1776,3860
2025-06-19,1825,3838
2025-06-20,1745,4781
2025-06-21,1824,4819
2025-06-22,1853,4855
2025-06-23,1824,3664
2025-06-24,1848,4407
2025-06-25,1709,3590
2025-06-26,1764,3397
2025-06-27,1742,3399
2025-06-28,1847,3721
2025-06-29,1860,3897
2025-06-30,1919,4697
2025-07-01,1862,3260
2025-07-02,1880,4486
2025-07-03,1712,4098
2025-07-04,1757,3609
2025-07-05,1763,4002
2025-07-06,1780,3638
2025-07-07,1803,4220
2025-07-08,1816,3904
2025-07-09,1766,3372
2025-07-10,1786,3249
2025-07-11,1731,4104
2025-07-12,1765,4845
2025-07-13,1918,3722
2025-07-14,1740,4503
2025-07-15,1711,4360
2025-07-16,1812,4905
2025-07-17,1878,4690
2025-07-18,1847,4164
2025-07-19,1710,4343
2025-07-20,1876,4822
2025-07-21,1761,3815
2025-07-22,1759,3686
2025-07-23,1932,3042
2025-07-24,1711,4699
2025-07-25,1750,4635
2025-07-26,1816,3242
2025-07-27,1850,4177
2025-07-28,1810,3940
2025-07-29,1803,3248
2025-07-30,1823,4988
2025-07-31,1817,3442
2025-08-01,1754,3168
2025-08-02,1856,4234
2025-08-03,1753,4523
2025-08-04,1792,3101
2025-08-05,1807,4335
2025-08-06,1856,4109
2025-08-07,1792,3251
2025-08-08,1692,3362
2025-08-09,1837,4175
2025-08-10,1726,3614
2025-08-11,1840,4918
2025-08-12,1802,4687
2025-08-13,1901,4978
2025-08-14,1711,3565
2025-08-15,1909,4974
2025-08-16,1835,3911
2025-08-17,1822,3723
2025-08-18,1840,3144
2025-08-19,1880,3118
2025-08-20,1839,4407
2025-08-21,1834,3928
2025-08-22,1790,3502
2025-08-23,1823,4270
2025-08-24,1771,3549
2025-08-25,1871,4202
2025-08-26,1820,3731
2025-08-27,1815,4672
2025-08-28,1814,4654
2025-08-29,1632,3973
2025-08-30,1828,3720
2025-08-31,1788,3753
2025-09-01,1809,4632
2025-09-02,1757,3670
2025-09-03,1844,3434
2025-09-04,1752,3185
2025-09-05,1692,3982
2025-09-06,1815,4004
2025-09-07,1784,4730
2025-09-08,1781,3470
2025-09-09,1775,3783
2025-09-10,1846,4658
2025-09-11,1825,4670
2025-09-12,1756,3791
2025-09-13,1850,3937
2025-09-14,1846,3621
2025-09-15,1791,4885
2025-09-16,1847,3261
2025-09-17,1851,4904
2025-09-18,1755,4380
2025-09-19,1810,4081
2025-09-20,1784,3107
2025-09-21,1784,3967
2025-09-22,1857,3839
2025-09-23,1882,3367
2025-09-24,1796,4329
2025-09-25,1763,4955
2025-09-26,1758,4153
